AcquisitionYear,Business,ParentCompany,Category
2010,Content farm,Yahoo,Internet_Search
2010,Music streaming,Google,Internet_Search
2010,Travel,Google,Internet_Search
2010,Business software integration,IBM,Computing_platform
2010,Private conversations/Forums,Facebook,SNS
2010,Advertising,Google,Internet_Search
2010,Web Analytics,IBM,Computing_platform
2010,Security and IT automation software,IBM,Computing_platform
2010,Travel recommendations,Facebook,SNS
2018,Government Issued ID Verification Platform,Facebook,SNS
2010,Semantic search,Google,Internet_Search
2010,Data Compression,IBM,Computing_platform
2010,Java/Eclipse/AJAX developer tools,Google,Internet_Search
2010,Social gaming,Google,Internet_Search
2010,Social Gold payment,Google,Internet_Search
2010,Data capture and Content Management,IBM,Computing_platform
2010,Marketing planning software,IBM,Computing_platform
2010,Visual search engine,Google,Internet_Search
2010,Internet applications,Facebook,SNS
